2025-09-01 20:28:36,599 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:36,701 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:36,809 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:36,913 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:37,015 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:37,123 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:37,225 - LookupTableRL - INFO - Decision: No_DDoS for state ('0-20%', 'Safe', 'Confirming')
2025-09-01 20:28:37,325 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,436 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,545 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,649 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,758 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,871 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:37,974 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:38,081 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,192 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,293 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,403 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,514 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,629 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Warning', 'Confirming')
2025-09-01 20:28:38,750 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:38,855 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
